stem,outcome,outcome_variable,estimate,std_error,constant,constant_se,n,r_squared
table_c11_use_of_force_nonblack,Use of Force,use_of_force_nonblack_1000_rate_post,-0.8480599439863828,12.423580114469118,39.5818135071735,8.466119150064909,2224,2.1249076849194637e-6
table_c11_use_of_force_nonblack,Use of Force (Serious),use_of_force_serious_nonblack_1000_rate_post,1.5493501425274596,1.5493129391925522,1.4149269795143514e-14,2.209035390130949e-16,2224,4.4984255500812864e-4
table_c11_use_of_force_nonblack,Use of Force (Other),use_of_force_less_serious_nonblack_1000_rate_post,3.3990826252985613,12.464471322387107,39.581813507173514,8.466119150064907,2224,3.380879143433102e-5
table_c13_use_of_force_white,Use of Force,use_of_force_white_1000_rate_post,6.202463805869933,8.718180427725033,18.587138474569905,5.341945217807493,2224,2.2771891133310795e-4
table_c13_use_of_force_white,Use of Force (Serious),use_of_force_serious_white_1000_rate_post,0,0,0,0,2224,NA
table_c13_use_of_force_white,Use of Force (Other),use_of_force_less_serious_white_1000_rate_post,7.345809543578341,8.790551150797722,18.587138474569972,5.341945217807496,2224,3.1231362449846145e-4
table_c15_use_of_force_hispanic,Use of Force,use_of_force_hispanic_1000_rate_post,-7.050523749856085,7.136657931088828,19.445324890075987,5.644145113107582,2224,4.573148771094271e-4
table_c15_use_of_force_hispanic,Use of Force (Serious),use_of_force_serious_hispanic_1000_rate_post,1.5493501425274596,1.5493129391925522,1.4149269795143514e-14,2.209035390130949e-16,2224,4.4984255500812864e-4
table_c15_use_of_force_hispanic,Use of Force (Other),use_of_force_less_serious_hispanic_1000_rate_post,-3.946726918279745,7.776637214666008,19.445324890076037,5.644145113107572,2224,1.1994545786997435e-4
table_c17_use_of_force_other_race,Use of Force,use_of_force_other_1000_rate_post,1.2599663400523219e-14,2.191134990129852,1.5493501425274807,1.5494198789940314,2224,0
table_c17_use_of_force_other_race,Use of Force (Serious),use_of_force_serious_other_1000_rate_post,0,0,0,0,2224,NA
table_c17_use_of_force_other_race,Use of Force (Other),use_of_force_less_serious_other_1000_rate_post,1.2599663400523219e-14,2.191134990129852,1.5493501425274807,1.5494198789940314,2224,0
table_c19_complaints,Complaints,all_complaints_1000_rate_post,33.33715494277953,37.01491597049573,268.7048968634229,26.747578597412232,2224,3.8236412257186547e-4
table_c19_complaints,Complaints (Sustained),all_complaints_sustained_1000_rate_post,8.752813600836932,13.01416015457008,39.28958001346927,9.874390505341921,2224,2.1839371238341343e-4
table_c19_complaints,Complaints (Not Sustained),all_complaints_not_sustained_1000_rate_post,24.584341341942533,33.00438720083118,229.4153168499537,23.505806871894276,2224,2.574099665723084e-4
table_c19_complaints,Compliants (Insufficient Facts),all_complaints_insufficient_facts_1000_rate_post,-9.121827726838582,12.313905205240422,45.111442614007416,9.691072697839596,2224,2.663928580166619e-4
