float,published_numbers,basis,covered,reproduced_by_rewrite,reproduced_by_archive
table_a1,36,published cells,36,36,0
table_a2,16,no comparable number,0,0,0
table_a3,4,no comparable number,0,0,0
table_a4,10,published cells,10,7,0
figure_1,6,"plotted estimates, unadjusted series only",3,3,0
figure_c1,90,"plotted estimates, unadjusted series only",45,45,0
figure_d2,90,no comparable number,0,0,0
figure_e3,0,no comparable number,0,0,0
figure_e4,0,no comparable number,0,0,0
figure_e5,0,no comparable number,0,0,0
table_c5,18,published cells,18,18,2
table_c6,48,no comparable number,0,0,0
table_c7,12,published cells,12,12,2
table_c8,32,no comparable number,0,0,0
table_c9,18,published cells,18,18,3
table_c10,48,no comparable number,0,0,0
table_c11,18,published cells,18,18,4
table_c12,48,no comparable number,0,0,0
table_c13,17,published cells,17,17,6
table_c14,45,no comparable number,0,0,0
table_c15,18,published cells,18,18,3
table_c16,48,no comparable number,0,0,0
table_c17,17,published cells,17,17,8
table_c18,45,no comparable number,0,0,0
table_c19,24,published cells,24,24,1
table_c20,64,no comparable number,0,0,0
table_c21,18,published cells,18,18,3
table_c22,48,no comparable number,0,0,0
table_c23,18,published cells,18,18,3
table_c24,48,no comparable number,0,0,0
table_c25,30,published cells,30,30,4
table_c26,72,no comparable number,0,0,0
table_c27,30,published cells,30,30,5
table_c28,80,no comparable number,0,0,0
table_c29,12,published cells,12,12,2
table_c30,32,no comparable number,0,0,0
table_c31,6,published cells,6,6,1
table_c32,16,no comparable number,0,0,0
table_c33,6,published cells,6,6,1
table_c34,16,no comparable number,0,0,0
table_c35,6,published cells,6,6,1
table_c36,16,no comparable number,0,0,0
table_c37,12,published cells,12,12,4
