estimator,outcome,outcome_variable,estimate,std_error,p_value,conf_low,conf_high,constant,constant_se,n,r_squared,dv_category
Difference-in-means,Use of Force,use_of_force_1000_rate_post,73.64518514106906,86.98458492144282,0.3972977579303807,-96.94900964034535,244.23937992248347,807.1708178104218,59.2392011675213,1922,3.679645600905834e-4,Use of Force
Difference-in-means,Use of Force (Serious),use_of_force_serious_1000_rate_post,13.81596340785721,14.069991912743365,0.32625047782079764,-13.778109071803181,41.4100358875176,36.171771595853826,9.014109288272092,1922,5.076783579296418e-4,Use of Force
Difference-in-means,Use of Force (Other),use_of_force_less_serious_1000_rate_post,59.829221733211845,83.36634606663321,0.4730503386886409,-103.66888188997584,223.32732535639954,770.9990462145685,57.531262148485084,1922,2.641100631389781e-4,Use of Force
Difference-in-means,Use of Force: Black Citizens,use_of_force_black_1000_rate_post,-18.15286996539445,67.9029405398763,0.7892395295877451,-151.3241378992705,115.01839796848162,530.8597323592041,46.6032622768467,1922,3.6499064126616076e-5,Use of Force
Difference-in-means,Use of Force (Serious): Black Citizens,use_of_force_serious_black_1000_rate_post,5.80623263021103,10.005903531901692,0.5617934384543901,-13.817348463230447,25.429813723652508,21.309563850492765,6.918537054180257,1922,1.7815788438391156e-4,Use of Force
Difference-in-means,Use of Force (Other): Black Citizens,use_of_force_less_serious_black_1000_rate_post,-7.455073150950738,67.03798806878778,0.911464065448522,-138.92999603170276,124.01984972980128,515.4659705954272,45.94331455970626,1922,6.315861813210866e-6,Use of Force
Difference-in-means,Use of Force: Nonblack Citizens,use_of_force_nonblack_1000_rate_post,-0.9813138998048802,14.356751282554153,0.9455124795752248,-29.137778943999287,27.175151144389524,45.801224370423284,9.783628550651642,1922,2.4658110583386517e-6,Use of Force
Difference-in-means,Use of Force (Serious): Nonblack Citizens,use_of_force_serious_nonblack_1000_rate_post,1.7927964188247425,1.7927420219796544,0.3174218377693454,-1.723129787716625,5.30872262536611,-4.569152017863116e-15,1.108317930641194e-15,1922,5.205622071313698e-4,Use of Force
Difference-in-means,Use of Force (Other): Nonblack Citizens,use_of_force_less_serious_nonblack_1000_rate_post,3.933173651750427,14.40181506306173,0.7848036918303989,-24.31167049267696,32.17801779617781,45.80122437042342,9.783628550651674,1922,3.924409805822204e-5,Use of Force
Difference-in-means,Use of Force: White Citizens,use_of_force_white_1000_rate_post,7.177044487125233,10.079810026123145,0.47653778223334653,-12.591482045582435,26.9455710198329,21.507698214070516,6.177399008458556,1922,2.639618596804727e-4,Use of Force
Difference-in-means,Use of Force (Serious): White Citizens,use_of_force_serious_white_1000_rate_post,0,0,NA,0,0,0,0,1922,NA,Use of Force
Difference-in-means,Use of Force (Other): White Citizens,use_of_force_less_serious_white_1000_rate_post,8.500041844390411,10.163185039480846,0.40305867450665966,-11.431999790234359,28.432083479015184,21.50769821407055,6.177399008458562,1922,3.620394160209761e-4,Use of Force
Difference-in-means,Use of Force: Hispanic Citizens,use_of_force_hispanic_1000_rate_post,-8.158358386930379,8.252567435927457,0.322991147066124,-24.34329618806847,8.026579414207712,22.50072973752817,6.526246260397162,1922,5.299484666548837e-4,Use of Force
Difference-in-means,Use of Force (Serious): Hispanic Citizens,use_of_force_serious_hispanic_1000_rate_post,1.7927964188247425,1.7927420219796544,0.3174218377693454,-1.723129787716625,5.30872262536611,-4.569152017863116e-15,1.108317930641194e-15,1922,5.205622071313698e-4,Use of Force
Difference-in-means,Use of Force (Other): Hispanic Citizens,use_of_force_less_serious_hispanic_1000_rate_post,-4.566868192639957,8.992660646300688,0.6116211272014171,-22.203277026270037,13.069540640990121,22.50072973752813,6.526246260397149,1922,1.389976058979725e-4,Use of Force
Difference-in-means,Use of Force: Other Race Citizens,use_of_force_other_1000_rate_post,1.4748739482861795e-14,2.535431515830966,0.9999999999999953,-4.972489070991464,4.972489070991494,1.7927964188247243,1.7928996107136634,1922,0,Use of Force
Difference-in-means,Use of Force (Serious): Other Race Citizens,use_of_force_serious_other_1000_rate_post,0,0,NA,0,0,0,0,1922,NA,Use of Force
Difference-in-means,Use of Force (Other): Other Race Citizens,use_of_force_less_serious_other_1000_rate_post,1.4748739482861795e-14,2.535431515830966,0.9999999999999953,-4.972489070991464,4.972489070991494,1.7927964188247243,1.7928996107136634,1922,0,Use of Force
Difference-in-means,Complaints,all_complaints_1000_rate_post,57.26559336674343,41.42901085067545,0.16705318258400492,-23.984995493849254,138.51618222733612,280.1312667324739,29.637789584654296,1922,0.0010433655363690786,Complaints
Difference-in-means,Complaints (Sustained),all_complaints_sustained_1000_rate_post,16.88970785845424,14.23695390961247,0.23563927110874788,-11.031810540971186,44.81122625787967,38.701490579743975,10.337580233038343,1922,7.926439717652611e-4,Complaints
Difference-in-means,Complaints (Not Sustained),all_complaints_not_sustained_1000_rate_post,40.37588550828926,36.95031331899324,0.27465931740271365,-32.09108037155514,112.84285138813365,241.4297761527298,26.108978482735207,1922,6.40887223235409e-4,Complaints
Difference-in-means,Compliants (Insufficient Facts),all_complaints_insufficient_facts_1000_rate_post,-7.9247664932910356,13.77186416911245,0.5650668350748448,-34.934150750174396,19.084617763592323,47.776560870024895,10.754978887375497,1922,1.8699679822686832e-4,Complaints
Difference-in-means,Assault on PO,assault_on_po_1000_rate_post,71.6323095651241,145.69529115165662,0.6230170723436799,-214.1053403863856,357.3699595166338,1381.7511816880533,107.84976032488282,1922,1.3049585868230018e-4,Arrests
Difference-in-means,Felony APO,felony_assault_on_po_1000_rate_post,-16.642500775552783,39.06763702161634,0.6701614254245305,-93.26196255414521,59.97696100303964,155.17216839718645,29.62375806730521,1922,1.00714183332129e-4,Arrests
Difference-in-means,Misdemeanor APO,msd_assault_on_po_1000_rate_post,88.2748103406777,131.9366866972964,0.5035315966881995,-170.47946031061113,347.02908099196657,1226.5790132908664,97.26218024153812,1922,2.4044823341662358e-4,Arrests
Difference-in-means,Disorderly Conduct,disorderly_conduct_1000_rate_post,-127.73392522543098,277.2451788885842,0.6450477321934354,-671.4672555878323,415.99940513697027,1416.4949875720467,186.27154449796836,1922,1.1888265509907292e-4,Arrests
Difference-in-means,Simple Assault,simple_assault_1000_rate_post,430.81772681787896,593.101943623807,0.4676940410846737,-732.3739879804643,1594.0094416162224,9065.68472318994,442.4666339002387,1922,2.8125555896074683e-4,Arrests
Difference-in-means,Traffic Violation,traffic_arrest_1000_rate_post,91.0810802162413,617.1903505666621,0.8826946857897644,-1119.3528257093533,1301.514986141836,5230.554835255371,458.22119666422225,1922,1.1827022230459505e-5,Arrests
Difference-in-means,Clinic Visits,clinic_1000_rate_post,-22.963024812960878,32.801314642479625,0.4839720497569252,-87.29297320852096,41.3669235825992,237.33523527601264,24.950305859250502,1922,2.73506401194501e-4,Misc
Difference-in-means,Prosecuted,charge_prosecuted_1000_rate_post,2421.6249724618956,2632.6690217432306,0.3577737715732142,-2741.5663251210754,7584.8162700448665,33139.077419179295,1814.586738369937,1922,4.4181267761811416e-4,Judicial Outcomes
Difference-in-means,Found Guilty,trial_guilty_1000_rate_post,13.473684595367581,19.950265525021557,0.4995260650087183,-25.65278230667178,52.60015149740694,39.57802681028404,14.087376402493787,1922,2.3669683057336854e-4,Judicial Outcomes
Difference-in-means,Not Found Guilty,trial_not_guilty_1000_rate_post,-15.622043110564778,22.156079248798616,0.4808393834376399,-59.07455256813719,27.83046634700764,49.28942878824566,17.68182359002625,1922,2.873336282784855e-4,Judicial Outcomes
Difference-in-means,Entered Plea,not_trial_guilty_1000_rate_post,62.752699500310605,353.06705173763413,0.8589491180571542,-629.6825112835936,755.1879102842149,1348.5189155451465,182.01444871706153,1922,1.4758206758336279e-5,Judicial Outcomes
Difference-in-means,Not Pursued,not_trial_not_guilty_1000_rate_post,-114.27818983333718,102.21378122259435,0.26369356501040964,-314.7398890985558,86.18350943188143,390.09608123071314,95.90399739553885,1922,7.854024887441469e-4,Judicial Outcomes
Difference-in-means,Court Appearances,court_appearances_1000_rate_post,-935.9607438800404,868.5065141999382,0.2813178012856566,-2639.2759874506014,767.3544996905207,11798.203673766217,683.8454486785582,1922,6.174726163644673e-4,Court Appearances
Difference-in-means,Hours in Court,court_hours_1000_rate_post,-2639.001484826859,2220.496533432125,0.2347938581278019,-6993.839971184865,1715.837001531147,28026.150835534125,1724.2898761411966,1922,7.505809247239092e-4,Court Appearances
Difference-in-means,DV Report Taken,dv_report_taken_1000_rate_post,-9448.519815511481,10905.485428841988,0.38637873417654456,-30836.361202740212,11939.32157171725,230390.14697418924,8087.320068718736,1922,3.9865853311782384e-4,Domestic Violence
Difference-in-means,DV Report Taken (Family),dv_report_taken_family_1000_rate_post,-858.4581258526641,886.4370292161404,0.3329483053958555,-2596.9387010043047,880.0224492989762,12962.627826633667,677.6325732938891,1922,4.930146365627053e-4,Domestic Violence
Difference-in-means,DV Report Taken (Not Family),dv_report_taken_not_family_1000_rate_post,-8590.061689658827,10260.742988141656,0.4025970734015044,-28713.434003292386,11533.310623974734,217427.5191475557,7582.428379850719,1922,3.723392688074201e-4,Domestic Violence
Difference-in-means,DV Calls,dv_calls_1000_rate_post,-22217.895220925257,21363.49149402227,0.29847379987954004,-64115.9813293285,19680.19088747798,446876.26848894666,15822.759356005046,1922,5.743277041451167e-4,Domestic Violence
Difference-in-means,DV Arrests,dv_arrests_1000_rate_post,-464.6976200595933,454.8147992322609,0.30703774259119576,-1356.6805446176616,427.28530449847494,4272.043801888801,348.6414491290099,1922,5.74489395169242e-4,Domestic Violence
Difference-in-means,Use of Force (Night),use_of_force_night_1000_rate_post,-33.15526979813648,65.18586533404219,0.6110723663964236,-160.99780900015247,94.68726940387953,475.16617052982883,47.02428667208349,1922,1.352183739619095e-4,Nighttime
Difference-in-means,Complaints (Night),all_complaints_night_1000_rate_post,12.64603206853572,20.55752070930949,0.5385262136179778,-27.67138388825854,52.963448025329974,86.98380377329505,13.617628141956528,1922,1.992339382670405e-4,Nighttime
Difference-in-means,Tickets,tickets_1000_rate_post,-3059.566522693641,7460.115176917371,0.6817613104054824,-17690.346709001144,11571.21366361386,24815.451355743397,5472.084910896976,1922,9.955625616542285e-5,Misc
Difference-in-means,Warnings,warnings_1000_rate_post,-4.885810747389874,868.8953594014467,0.9955140917608941,-1708.9636576471025,1699.192036152323,4250.656307076397,595.4044454457072,1922,1.662967774596069e-8,Misc
"OLS, pretreatment outcome only",Use of Force,use_of_force_1000_rate_post,121.51087927489279,85.69237115143734,0.15635619984505522,-46.54908070407386,289.57083925385945,NA,NA,1922,0.04865243380130546,Use of Force
"OLS, pretreatment outcome only",Use of Force (Serious),use_of_force_serious_1000_rate_post,16.32926444928206,13.942908458076031,0.24168310325530967,-11.015580908230834,43.67410980679496,NA,NA,1922,0.0059254384628641965,Use of Force
"OLS, pretreatment outcome only",Use of Force (Other),use_of_force_less_serious_1000_rate_post,93.34022843556941,81.82955989864627,0.2541511131559369,-67.14398243262609,253.8244393037649,NA,NA,1922,0.043989622073050016,Use of Force
"OLS, pretreatment outcome only",Use of Force: Black Citizens,use_of_force_black_1000_rate_post,-14.855401694222483,67.8219669209707,0.82664587931043,-147.86790786341314,118.15710447496818,NA,NA,1922,0.012619550114759348,Use of Force
"OLS, pretreatment outcome only",Use of Force (Serious): Black Citizens,use_of_force_serious_black_1000_rate_post,5.6552802052809685,10.00935947731888,0.5721403422758489,-13.975085141950826,25.28564555251276,NA,NA,1922,3.865166018984789e-4,Use of Force
"OLS, pretreatment outcome only",Use of Force (Other): Black Citizens,use_of_force_less_serious_black_1000_rate_post,0.39278046491194013,66.92600352930549,0.995317950760495,-130.86256144656699,131.64812237639086,NA,NA,1922,0.022541262287962827,Use of Force
"OLS, pretreatment outcome only",Use of Force: Nonblack Citizens,use_of_force_nonblack_1000_rate_post,0.6481891192966781,14.61947695665516,0.9646400990502579,-28.023543022493634,29.31992126108699,NA,NA,1922,0.006537574343333019,Use of Force
"OLS, pretreatment outcome only",Use of Force (Serious): Nonblack Citizens,use_of_force_serious_nonblack_1000_rate_post,1.7927964188247467,1.7927420219796564,0.31742190342719195,-1.7231309434146536,5.308723781064147,NA,NA,1922,5.205622071313698e-4,Use of Force
"OLS, pretreatment outcome only",Use of Force (Other): Nonblack Citizens,use_of_force_less_serious_nonblack_1000_rate_post,5.472715914092391,14.434461777389265,0.7046240972158453,-22.83616428177641,33.78159610996119,NA,NA,1922,0.008187045914331281,Use of Force
"OLS, pretreatment outcome only",Use of Force: White Citizens,use_of_force_white_1000_rate_post,7.481729757346334,10.168966483685635,0.46197799739713197,-12.461657002899656,27.425116517592322,NA,NA,1922,8.637528859707366e-4,Use of Force
"OLS, pretreatment outcome only",Use of Force (Serious): White Citizens,use_of_force_serious_white_1000_rate_post,0,0,NA,0,0,NA,NA,1922,NA,Use of Force
"OLS, pretreatment outcome only",Use of Force (Other): White Citizens,use_of_force_less_serious_white_1000_rate_post,8.801798913443228,10.251252591241343,0.39066451486704135,-11.302967439371141,28.906565266257598,NA,NA,1922,9.37314780769527e-4,Use of Force
"OLS, pretreatment outcome only",Use of Force: Hispanic Citizens,use_of_force_hispanic_1000_rate_post,-7.787028480605685,8.261287633827825,0.34600798000118915,-23.98907366222683,8.41501670101546,NA,NA,1922,0.003303570143733836,Use of Force
"OLS, pretreatment outcome only",Use of Force (Serious): Hispanic Citizens,use_of_force_serious_hispanic_1000_rate_post,1.7927964188247467,1.7927420219796564,0.31742190342719195,-1.7231309434146536,5.308723781064147,NA,NA,1922,5.205622071313698e-4,Use of Force
"OLS, pretreatment outcome only",Use of Force (Other): Hispanic Citizens,use_of_force_less_serious_hispanic_1000_rate_post,-4.457476047276297,8.967717535030824,0.6192050672049334,-22.044972224462875,13.130020129910278,NA,NA,1922,6.839878162985258e-4,Use of Force
"OLS, pretreatment outcome only",Use of Force: Other Race Citizens,use_of_force_other_1000_rate_post,-3.945490404240827e-14,2.535430900054085,0.9999999999999876,-4.972489497804975,4.972489497804897,NA,NA,1922,1.0850694522890336e-6,Use of Force
"OLS, pretreatment outcome only",Use of Force (Serious): Other Race Citizens,use_of_force_serious_other_1000_rate_post,0,0,NA,0,0,NA,NA,1922,NA,Use of Force
"OLS, pretreatment outcome only",Use of Force (Other): Other Race Citizens,use_of_force_less_serious_other_1000_rate_post,-3.945490404240827e-14,2.535430900054085,0.9999999999999876,-4.972489497804975,4.972489497804897,NA,NA,1922,1.0850694522890336e-6,Use of Force
"OLS, pretreatment outcome only",Complaints,all_complaints_1000_rate_post,58.825927165081985,41.318010223857854,0.1546855565257525,-22.2069938677679,139.85884819793188,NA,NA,1922,0.00338146300180564,Complaints
"OLS, pretreatment outcome only",Complaints (Sustained),all_complaints_sustained_1000_rate_post,16.893881785217246,14.239897393655573,0.23562044655772732,-11.033418555826074,44.82118212626057,NA,NA,1922,0.001004623970931151,Complaints
"OLS, pretreatment outcome only",Complaints (Not Sustained),all_complaints_not_sustained_1000_rate_post,41.57581181740398,36.842951474107224,0.25926658700192745,-30.680619730080544,113.83224336488851,NA,NA,1922,0.0020727214682484396,Complaints
"OLS, pretreatment outcome only",Compliants (Insufficient Facts),all_complaints_insufficient_facts_1000_rate_post,-7.971324437872814,13.85262649344954,0.565062734571279,-35.13910872030894,19.196459844563314,NA,NA,1922,2.0057888494129372e-4,Complaints
