district,relative_month,Z,use_of_force_1000,n_officers
1D,-660,Control,7.042253521126761,142
1D,-660,Officer Assigned BWC,0,142
1D,-630,Control,14.084507042253522,142
1D,-630,Officer Assigned BWC,14.084507042253522,142
1D,-600,Control,7.042253521126761,142
1D,-600,Officer Assigned BWC,7.042253521126761,142
1D,-570,Control,7.042253521126761,142
1D,-570,Officer Assigned BWC,42.25352112676056,142
1D,-540,Control,35.21126760563381,142
1D,-540,Officer Assigned BWC,63.38028169014084,142
1D,-510,Control,28.169014084507044,142
1D,-510,Officer Assigned BWC,28.169014084507044,142
1D,-480,Control,21.12676056338028,142
1D,-480,Officer Assigned BWC,28.169014084507044,142
1D,-450,Control,49.29577464788732,142
1D,-450,Officer Assigned BWC,56.33802816901409,142
1D,-420,Control,49.29577464788732,142
1D,-420,Officer Assigned BWC,0,142
1D,-390,Control,28.169014084507044,142
1D,-390,Officer Assigned BWC,14.084507042253522,142
1D,-360,Control,14.084507042253522,142
1D,-360,Officer Assigned BWC,77.46478873239435,142
1D,-330,Control,42.25352112676056,142
1D,-330,Officer Assigned BWC,63.38028169014084,142
1D,-300,Control,14.084507042253522,142
1D,-300,Officer Assigned BWC,35.21126760563381,142
1D,-270,Control,35.21126760563381,142
1D,-270,Officer Assigned BWC,7.042253521126761,142
1D,-240,Control,56.33802816901409,142
1D,-240,Officer Assigned BWC,42.25352112676056,142
1D,-210,Control,91.54929577464789,142
1D,-210,Officer Assigned BWC,42.25352112676056,142
1D,-180,Control,70.42253521126761,142
1D,-180,Officer Assigned BWC,126.76056338028168,142
1D,-150,Control,35.21126760563381,142
1D,-150,Officer Assigned BWC,21.12676056338028,142
1D,-120,Control,56.33802816901409,142
1D,-120,Officer Assigned BWC,42.25352112676056,142
1D,-90,Control,56.33802816901409,142
1D,-90,Officer Assigned BWC,91.54929577464789,142
1D,-60,Control,154.9295774647887,142
1D,-60,Officer Assigned BWC,105.63380281690141,142
1D,-30,Control,98.59154929577464,142
1D,-30,Officer Assigned BWC,183.09859154929578,142
1D,0,Control,105.63380281690141,142
1D,0,Officer Assigned BWC,147.88732394366198,142
1D,30,Control,56.33802816901409,142
1D,30,Officer Assigned BWC,28.169014084507044,142
1D,60,Control,56.33802816901409,142
1D,60,Officer Assigned BWC,77.46478873239435,142
1D,90,Control,119.71830985915493,142
1D,90,Officer Assigned BWC,77.46478873239435,142
1D,120,Control,119.71830985915493,142
1D,120,Officer Assigned BWC,70.42253521126761,142
1D,150,Control,281.69014084507046,142
1D,150,Officer Assigned BWC,267.6056338028169,142
1D,180,Control,56.33802816901409,142
1D,180,Officer Assigned BWC,84.50704225352112,142
1D,210,Control,105.63380281690141,142
1D,210,Officer Assigned BWC,112.67605633802818,142
1D,240,Control,49.29577464788732,142
1D,240,Officer Assigned BWC,84.50704225352112,142
2D,-690,Control,21.897810218978105,137
2D,-690,Officer Assigned BWC,36.4963503649635,137
2D,-660,Control,29.197080291970803,137
2D,-660,Officer Assigned BWC,65.69343065693431,137
2D,-630,Control,36.4963503649635,137
2D,-630,Officer Assigned BWC,21.897810218978105,137
2D,-600,Control,7.299270072992701,137
2D,-600,Officer Assigned BWC,29.197080291970803,137
2D,-570,Control,21.897810218978105,137
2D,-570,Officer Assigned BWC,7.299270072992701,137
2D,-540,Control,14.598540145985401,137
2D,-540,Officer Assigned BWC,7.299270072992701,137
2D,-510,Control,21.897810218978105,137
2D,-510,Officer Assigned BWC,29.197080291970803,137
2D,-480,Control,14.598540145985401,137
2D,-480,Officer Assigned BWC,29.197080291970803,137
2D,-450,Control,0,137
2D,-450,Officer Assigned BWC,72.992700729927,137
2D,-420,Control,14.598540145985401,137
2D,-420,Officer Assigned BWC,7.299270072992701,137
2D,-390,Control,21.897810218978105,137
2D,-390,Officer Assigned BWC,21.897810218978105,137
2D,-360,Control,29.197080291970803,137
2D,-360,Officer Assigned BWC,14.598540145985401,137
2D,-330,Control,21.897810218978105,137
2D,-330,Officer Assigned BWC,43.79562043795621,137
2D,-300,Control,43.79562043795621,137
2D,-300,Officer Assigned BWC,36.4963503649635,137
2D,-270,Control,0,137
2D,-270,Officer Assigned BWC,7.299270072992701,137
2D,-240,Control,21.897810218978105,137
2D,-240,Officer Assigned BWC,7.299270072992701,137
2D,-210,Control,29.197080291970803,137
2D,-210,Officer Assigned BWC,29.197080291970803,137
2D,-180,Control,29.197080291970803,137
2D,-180,Officer Assigned BWC,7.299270072992701,137
2D,-150,Control,7.299270072992701,137
2D,-150,Officer Assigned BWC,0,137
2D,-120,Control,29.197080291970803,137
2D,-120,Officer Assigned BWC,29.197080291970803,137
2D,-90,Control,36.4963503649635,137
