district,relative_month,Z,complaints_1000,n_officers
1D,-660,Control,0,142
1D,-660,Officer Assigned BWC,0,142
1D,-630,Control,14.084507042253522,142
1D,-630,Officer Assigned BWC,7.042253521126761,142
1D,-600,Control,28.169014084507044,142
1D,-600,Officer Assigned BWC,7.042253521126761,142
1D,-570,Control,91.54929577464789,142
1D,-570,Officer Assigned BWC,14.084507042253522,142
1D,-540,Control,0,142
1D,-540,Officer Assigned BWC,7.042253521126761,142
1D,-510,Control,35.21126760563381,142
1D,-510,Officer Assigned BWC,28.169014084507044,142
1D,-480,Control,42.25352112676056,142
1D,-480,Officer Assigned BWC,7.042253521126761,142
1D,-450,Control,14.084507042253522,142
1D,-450,Officer Assigned BWC,21.12676056338028,142
1D,-420,Control,0,142
1D,-420,Officer Assigned BWC,7.042253521126761,142
1D,-390,Control,7.042253521126761,142
1D,-390,Officer Assigned BWC,0,142
1D,-360,Control,42.25352112676056,142
1D,-360,Officer Assigned BWC,21.12676056338028,142
1D,-330,Control,28.169014084507044,142
1D,-330,Officer Assigned BWC,28.169014084507044,142
1D,-300,Control,14.084507042253522,142
1D,-300,Officer Assigned BWC,28.169014084507044,142
1D,-270,Control,42.25352112676056,142
1D,-270,Officer Assigned BWC,14.084507042253522,142
1D,-240,Control,42.25352112676056,142
1D,-240,Officer Assigned BWC,42.25352112676056,142
1D,-210,Control,35.21126760563381,142
1D,-210,Officer Assigned BWC,0,142
1D,-180,Control,28.169014084507044,142
1D,-180,Officer Assigned BWC,42.25352112676056,142
1D,-150,Control,14.084507042253522,142
1D,-150,Officer Assigned BWC,0,142
1D,-120,Control,28.169014084507044,142
1D,-120,Officer Assigned BWC,14.084507042253522,142
1D,-90,Control,21.12676056338028,142
1D,-90,Officer Assigned BWC,21.12676056338028,142
1D,-60,Control,7.042253521126761,142
1D,-60,Officer Assigned BWC,14.084507042253522,142
1D,-30,Control,35.21126760563381,142
1D,-30,Officer Assigned BWC,14.084507042253522,142
1D,0,Control,14.084507042253522,142
1D,0,Officer Assigned BWC,14.084507042253522,142
1D,30,Control,14.084507042253522,142
1D,30,Officer Assigned BWC,14.084507042253522,142
1D,60,Control,28.169014084507044,142
1D,60,Officer Assigned BWC,49.29577464788732,142
1D,90,Control,7.042253521126761,142
1D,90,Officer Assigned BWC,14.084507042253522,142
1D,120,Control,14.084507042253522,142
1D,120,Officer Assigned BWC,7.042253521126761,142
1D,150,Control,0,142
1D,150,Officer Assigned BWC,7.042253521126761,142
1D,180,Control,14.084507042253522,142
1D,180,Officer Assigned BWC,14.084507042253522,142
1D,210,Control,7.042253521126761,142
1D,210,Officer Assigned BWC,49.29577464788732,142
1D,240,Control,0,142
1D,240,Officer Assigned BWC,21.12676056338028,142
2D,-690,Control,7.299270072992701,137
2D,-690,Officer Assigned BWC,7.299270072992701,137
2D,-660,Control,29.197080291970803,137
2D,-660,Officer Assigned BWC,29.197080291970803,137
2D,-630,Control,0,137
2D,-630,Officer Assigned BWC,0,137
2D,-600,Control,21.897810218978105,137
2D,-600,Officer Assigned BWC,29.197080291970803,137
2D,-570,Control,29.197080291970803,137
2D,-570,Officer Assigned BWC,21.897810218978105,137
2D,-540,Control,36.4963503649635,137
2D,-540,Officer Assigned BWC,65.69343065693431,137
2D,-510,Control,0,137
2D,-510,Officer Assigned BWC,0,137
2D,-480,Control,0,137
2D,-480,Officer Assigned BWC,21.897810218978105,137
2D,-450,Control,14.598540145985401,137
2D,-450,Officer Assigned BWC,14.598540145985401,137
2D,-420,Control,0,137
2D,-420,Officer Assigned BWC,14.598540145985401,137
2D,-390,Control,14.598540145985401,137
2D,-390,Officer Assigned BWC,14.598540145985401,137
2D,-360,Control,0,137
2D,-360,Officer Assigned BWC,7.299270072992701,137
2D,-330,Control,29.197080291970803,137
2D,-330,Officer Assigned BWC,14.598540145985401,137
2D,-300,Control,51.09489051094891,137
2D,-300,Officer Assigned BWC,29.197080291970803,137
2D,-270,Control,36.4963503649635,137
2D,-270,Officer Assigned BWC,14.598540145985401,137
2D,-240,Control,14.598540145985401,137
2D,-240,Officer Assigned BWC,29.197080291970803,137
2D,-210,Control,29.197080291970803,137
2D,-210,Officer Assigned BWC,21.897810218978105,137
2D,-180,Control,29.197080291970803,137
2D,-180,Officer Assigned BWC,7.299270072992701,137
2D,-150,Control,7.299270072992701,137
2D,-150,Officer Assigned BWC,21.897810218978105,137
2D,-120,Control,0,137
2D,-120,Officer Assigned BWC,7.299270072992701,137
2D,-90,Control,7.299270072992701,137
2D,-90,Officer Assigned BWC,29.197080291970803,137
2D,-60,Control,21.897810218978105,137
2D,-60,Officer Assigned BWC,51.09489051094891,137
2D,-30,Control,7.299270072992701,137
2D,-30,Officer Assigned BWC,36.4963503649635,137
2D,0,Control,51.09489051094891,137
2D,0,Officer Assigned BWC,51.09489051094891,137
2D,30,Control,7.299270072992701,137
2D,30,Officer Assigned BWC,7.299270072992701,137
2D,60,Control,29.197080291970803,137
2D,60,Officer Assigned BWC,21.897810218978105,137
2D,90,Control,29.197080291970803,137
2D,90,Officer Assigned BWC,36.4963503649635,137
2D,120,Control,21.897810218978105,137
2D,120,Officer Assigned BWC,21.897810218978105,137
2D,150,Control,21.897810218978105,137
2D,150,Officer Assigned BWC,21.897810218978105,137
2D,180,Control,36.4963503649635,137
2D,180,Officer Assigned BWC,29.197080291970803,137
2D,210,Control,0,137
2D,210,Officer Assigned BWC,0,137
3D,-630,Control,21.897810218978105,137
3D,-630,Officer Assigned BWC,43.79562043795621,137
3D,-600,Control,36.4963503649635,137
3D,-600,Officer Assigned BWC,21.897810218978105,137
3D,-570,Control,21.897810218978105,137
3D,-570,Officer Assigned BWC,14.598540145985401,137
3D,-540,Control,14.598540145985401,137
3D,-540,Officer Assigned BWC,21.897810218978105,137
3D,-510,Control,0,137
3D,-510,Officer Assigned BWC,65.69343065693431,137
3D,-480,Control,29.197080291970803,137
3D,-480,Officer Assigned BWC,14.598540145985401,137
3D,-450,Control,0,137
3D,-450,Officer Assigned BWC,21.897810218978105,137
3D,-420,Control,14.598540145985401,137
3D,-420,Officer Assigned BWC,7.299270072992701,137
3D,-390,Control,65.69343065693431,137
3D,-390,Officer Assigned BWC,65.69343065693431,137
3D,-360,Control,7.299270072992701,137
3D,-360,Officer Assigned BWC,29.197080291970803,137
3D,-330,Control,29.197080291970803,137
3D,-330,Officer Assigned BWC,14.598540145985401,137
3D,-300,Control,7.299270072992701,137
3D,-300,Officer Assigned BWC,0,137
3D,-270,Control,51.09489051094891,137
3D,-270,Officer Assigned BWC,43.79562043795621,137
3D,-240,Control,7.299270072992701,137
3D,-240,Officer Assigned BWC,7.299270072992701,137
3D,-210,Control,65.69343065693431,137
3D,-210,Officer Assigned BWC,43.79562043795621,137
3D,-180,Control,43.79562043795621,137
3D,-180,Officer Assigned BWC,21.897810218978105,137
3D,-150,Control,29.197080291970803,137
3D,-150,Officer Assigned BWC,51.09489051094891,137
3D,-120,Control,21.897810218978105,137
3D,-120,Officer Assigned BWC,36.4963503649635,137
3D,-90,Control,7.299270072992701,137
3D,-90,Officer Assigned BWC,29.197080291970803,137
3D,-60,Control,36.4963503649635,137
3D,-60,Officer Assigned BWC,14.598540145985401,137
3D,-30,Control,29.197080291970803,137
3D,-30,Officer Assigned BWC,21.897810218978105,137
3D,0,Control,0,137
3D,0,Officer Assigned BWC,58.394160583941606,137
3D,30,Control,7.299270072992701,137
3D,30,Officer Assigned BWC,0,137
3D,60,Control,14.598540145985401,137
3D,60,Officer Assigned BWC,21.897810218978105,137
3D,90,Control,14.598540145985401,137
3D,90,Officer Assigned BWC,7.299270072992701,137
3D,120,Control,21.897810218978105,137
3D,120,Officer Assigned BWC,21.897810218978105,137
3D,150,Control,43.79562043795621,137
3D,150,Officer Assigned BWC,29.197080291970803,137
3D,180,Control,21.897810218978105,137
3D,180,Officer Assigned BWC,21.897810218978105,137
3D,210,Control,29.197080291970803,137
3D,210,Officer Assigned BWC,43.79562043795621,137
3D,240,Control,51.09489051094891,137
3D,240,Officer Assigned BWC,21.897810218978105,137
3D,270,Control,0,137
3D,270,Officer Assigned BWC,0,137
4D,-690,Control,0,141
4D,-690,Officer Assigned BWC,7.092198581560283,141
4D,-660,Control,0,141
4D,-660,Officer Assigned BWC,14.184397163120567,141
4D,-630,Control,21.27659574468085,141
4D,-630,Officer Assigned BWC,28.368794326241133,141
4D,-600,Control,7.092198581560283,141
4D,-600,Officer Assigned BWC,28.368794326241133,141
4D,-570,Control,49.64539007092199,141
4D,-570,Officer Assigned BWC,35.46099290780142,141
4D,-540,Control,7.092198581560283,141
4D,-540,Officer Assigned BWC,14.184397163120567,141
4D,-510,Control,14.184397163120567,141
4D,-510,Officer Assigned BWC,28.368794326241133,141
4D,-480,Control,7.092198581560283,141
4D,-480,Officer Assigned BWC,0,141
4D,-450,Control,0,141
4D,-450,Officer Assigned BWC,0,141
4D,-420,Control,28.368794326241133,141
4D,-420,Officer Assigned BWC,49.64539007092199,141
4D,-390,Control,7.092198581560283,141
4D,-390,Officer Assigned BWC,7.092198581560283,141
4D,-360,Control,21.27659574468085,141
4D,-360,Officer Assigned BWC,0,141
4D,-330,Control,28.368794326241133,141
4D,-330,Officer Assigned BWC,14.184397163120567,141
4D,-300,Control,78.01418439716312,141
4D,-300,Officer Assigned BWC,49.64539007092199,141
4D,-270,Control,35.46099290780142,141
4D,-270,Officer Assigned BWC,21.27659574468085,141
4D,-240,Control,56.737588652482266,141
4D,-240,Officer Assigned BWC,42.5531914893617,141
4D,-210,Control,14.184397163120567,141
4D,-210,Officer Assigned BWC,42.5531914893617,141
4D,-180,Control,28.368794326241133,141
4D,-180,Officer Assigned BWC,63.82978723404255,141
4D,-150,Control,28.368794326241133,141
4D,-150,Officer Assigned BWC,28.368794326241133,141
4D,-120,Control,21.27659574468085,141
4D,-120,Officer Assigned BWC,14.184397163120567,141
4D,-90,Control,42.5531914893617,141
4D,-90,Officer Assigned BWC,14.184397163120567,141
4D,-60,Control,28.368794326241133,141
4D,-60,Officer Assigned BWC,14.184397163120567,141
4D,-30,Control,56.737588652482266,141
4D,-30,Officer Assigned BWC,56.737588652482266,141
4D,0,Control,7.092198581560283,141
4D,0,Officer Assigned BWC,14.184397163120567,141
4D,30,Control,21.27659574468085,141
4D,30,Officer Assigned BWC,42.5531914893617,141
4D,60,Control,14.184397163120567,141
4D,60,Officer Assigned BWC,42.5531914893617,141
4D,90,Control,28.368794326241133,141
4D,90,Officer Assigned BWC,49.64539007092199,141
4D,120,Control,35.46099290780142,141
4D,120,Officer Assigned BWC,14.184397163120567,141
4D,150,Control,14.184397163120567,141
4D,150,Officer Assigned BWC,21.27659574468085,141
4D,180,Control,7.092198581560283,141
4D,180,Officer Assigned BWC,21.27659574468085,141
4D,210,Control,35.46099290780142,141
4D,210,Officer Assigned BWC,63.82978723404255,141
5D,-390,Control,0,79
5D,-390,Officer Assigned BWC,6.024096385542185,166
5D,-360,Control,37.97468354430387,79
5D,-360,Officer Assigned BWC,36.144578313253106,166
5D,-330,Control,63.29113924050646,79
5D,-330,Officer Assigned BWC,48.19277108433748,166
5D,-300,Control,0,79
5D,-300,Officer Assigned BWC,60.24096385542184,166
5D,-270,Control,37.97468354430387,79
5D,-270,Officer Assigned BWC,18.072289156626553,166
5D,-240,Control,12.658227848101294,79
5D,-240,Officer Assigned BWC,0,166
5D,-210,Control,37.97468354430387,79
5D,-210,Officer Assigned BWC,78.3132530120484,166
5D,-180,Control,12.658227848101294,79
5D,-180,Officer Assigned BWC,66.26506024096403,166
5D,-150,Control,25.31645569620259,79
5D,-150,Officer Assigned BWC,18.072289156626553,166
5D,-120,Control,25.31645569620259,79
5D,-120,Officer Assigned BWC,30.12048192771092,166
5D,-90,Control,37.97468354430387,79
5D,-90,Officer Assigned BWC,48.19277108433748,166
5D,-60,Control,12.658227848101294,79
5D,-60,Officer Assigned BWC,12.04819277108437,166
5D,-30,Control,25.31645569620259,79
5D,-30,Officer Assigned BWC,24.09638554216874,166
5D,0,Control,37.97468354430387,79
5D,0,Officer Assigned BWC,18.072289156626553,166
5D,30,Control,37.97468354430387,79
5D,30,Officer Assigned BWC,24.09638554216874,166
5D,60,Control,25.31645569620259,79
5D,60,Officer Assigned BWC,24.09638554216874,166
5D,90,Control,37.97468354430387,79
5D,90,Officer Assigned BWC,12.04819277108437,166
5D,120,Control,50.63291139240518,79
5D,120,Officer Assigned BWC,84.33734939759057,166
5D,150,Control,12.658227848101294,79
5D,150,Officer Assigned BWC,24.09638554216874,166
5D,180,Control,12.658227848101294,79
5D,180,Officer Assigned BWC,30.12048192771092,166
5D,210,Control,12.658227848101294,79
