file,osf_file_id,osf_guid,bytes,md5,sha256,date_modified
Pre-Analysis Plan (PAP)/Pre-analysis Plan - MPD BWC RCT - v1.pdf,586bdb35594d9001fba4512b,hpmrt,408266,7b986504d423b04df34d242eadb558f0,810011e80502ea6377b5e73b559438b994210717073e7f98da034d1c211c8d61,2017-01-03T17:11:17.188000
Replication Data/BWC_dv_df.rdata,5dcebae1453fe6000c8f939d,kmjxg,1855,1d50fc1dffaacedd1d461306fcd1909a,ba6ca08cf931653443b9c4a3ffe7339929ea14d95975f94a9b321ea49ca4e3a2,2019-11-15T14:49:05.731020
Replication Data/README.txt,5dcebada9a4252001213a19d,4pzyt,593,d0b770c7f25e3f95a4da0b90ee64dce3,e6f95329abeaa6f27c0f68d0887a1f56baec924c37ffadb62b3b149ab4cff649,2019-11-15T14:48:58.349245
Replication Data/coefplot_all_dvs.R,5dcebad9453fe6000d903670,vswpu,1914,11048da808ec24c2af36e4bbd71ec9f3,69425d142bf0110c6f412d1ffc582d012180a66209cd03188cefd3ef98701c52,2019-11-15T14:48:58.096797
Replication Data/coefplot_main_dvs.R,5dcebad93fa23b000d55e8c9,f2c93,1920,343214a8860d19bb7c193a9c2c9b2ddf,5607d5e7f6cc65d90b2634494829475a1dba2d1da7d298db7ad7575e8af632df,2019-11-15T14:48:58.051721
Replication Data/day_level_anon.csv,5dcebb6c3fa23b000c557f1e,h9wpc,177902506,5c70330d64566d5e3ccb31a299b57181,c0360bf118b1795aa4a0f8862cfeafdeb79e823083de262de576bfa9c4e0ff62,2019-11-15T14:51:24.177381
Replication Data/dv_df.csv,5dcebadf3fa23b000d55e8d8,ctyb9,8985,4da0c2190bc0b19a96641e2073a29aa6,acf388d1b61cf90075e9f1920ea2e1fc5acf6d6d55bcc363d15f2b117cbe706e,2019-11-15T14:49:03.455925
Replication Data/officer_level_anon.csv,5dcebae1453fe6000a8f844b,gsbwt,1865518,b5d302095e48e520762b704df8f825a9,b09e6d3a9d9ab922a8297eaa096eb5b1d4d0a5298df625927ee785a1a0684a2e,2019-11-15T14:49:05.524732
Replication Data/regression_tables.R,5dcebad9453fe6000a8f843e,muqpj,15972,56cd10045d8fab327b6df17cd79d1f73,59479f610a3d82ea071d64b168bc776eb215178c3439b549699a5c65f2825bc8,2019-11-15T14:48:57.191233
Replication Data/time_series_plot.R,5dcebad79a42520013131bfc,spr5g,3292,ad0bd6fc44d7129a5e5b0836d9cae921,e4db821f13294ad3510a08495dc2a9aa3325be4635105bdc103c5de1aeafc08c,2019-11-15T14:48:56.100094
TheLabDC_MPD_BWC_Working_Paper_10.20.17.pdf,5a048a469ad5a1026579ad7e,rk2pa,4650695,1a9fa6c82dc7f1de476105ad2b222cf7,97b325ba78b11942e47eb6c86da95e050225321e9a032ce387a23d274864faf9,2017-11-09T17:03:02.896610
